D,T,O,H,L,C
2017/1/4,1403,1990.3,1990.56,1990.3,1990.41
2017/1/4,1404,1990.3,1991.07,1990.3,1990.88
2017/1/4,1405,1991.15,1991.45,1991.15,1991.42
2017/1/4,1406,1991.37,1992.01,1991.37,1991.77
2017/1/4,1407,1991.92,1992.18,1991.78,1992.08
2017/1/4,1408,1992.17,1992.5,1992.17,1992.38
2017/1/4,1409,1992.5,1992.72,1992.45,1992.68
2017/1/4,1410,1992.75,1992.75,1992.06,1992.06
2017/1/4,1411,1992.09,1992.09,1991.38,1991.39
2017/1/4,1412,1991.25,1991.35,1990.73,1990.81
2017/1/4,1413,1991,1991,1989.97,1990.22
2017/1/4,1414,1990.25,1990.25,1989.59,1989.59
2017/1/4,1415,1989.49,1989.77,1989.16,1989.28
2017/1/4,1416,1989.18,1989.24,1988.8,1988.8
2017/1/4,1417,1988.69,1989.18,1988.69,1988.98
2017/1/4,1418,1989.11,1989.51,1989.11,1989.42
2017/1/4,1419,1989.44,1989.44,1989.05,1989.27
2017/1/4,1420,1989.2,1989.65,1989.2,1989.65
2017/1/4,1421,1989.64,1990.13,1989.5,1989.85
2017/1/4,1422,1990.02,1990.2,1989.83,1990.06
2017/1/4,1423,1989.93,1990.43,1989.79,1989.79
2017/1/4,1424,1989.7,1990.35,1989.7,1990.07
2017/1/4,1425,1990.24,1991.08,1990.24,1991.08
2017/1/4,1426,1990.99,1991.46,1990.99,1991.15
2017/1/4,1427,1991.18,1991.36,1990.81,1990.81
2017/1/4,1428,1990.93,1990.93,1990.43,1990.43
2017/1/4,1429,1990.66,1990.81,1990.49,1990.81
2017/1/4,1430,1990.84,1990.84,1990.32,1990.75
2017/1/4,1431,1990.61,1991.03,1989.93,1990
2017/1/4,1432,1990.06,1990.11,1989.41,1989.45
2017/1/4,1433,1988.85,1989.72,1988.85,1989.6
2017/1/4,1434,1989.52,1989.67,1989.35,1989.35
2017/1/4,1435,1989.5,1989.79,1989.37,1989.7
2017/1/4,1436,1990.22,1990.22,1989.74,1989.98
2017/1/4,1437,1989.97,1990.17,1989.38,1989.84
2017/1/4,1438,1989.55,1989.66,1989.37,1989.38
2017/1/4,1439,1989.44,1989.59,1989.21,1989.39
2017/1/4,1440,1989.22,1989.39,1988.93,1989.14
2017/1/4,1441,1988.76,1988.76,1988.1,1988.13
2017/1/4,1442,1988.2,1988.29,1988,1988.06
